2.200000000000000178e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -3.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01
2.352595710573757160e+00 -1.337217494856119682e-01 -1.174330394687023334e-02 4.021903444595247290e-01 1.594288653610459461e-02 -7.308971316964005260e-02 -3.181779373975039960e+01 -4.258864677152925104e-02 -2.229399661062789889e-02 4.000000000000000222e-01
2.317786160467167900e+00 -6.920510083141072355e-02 -2.384129921400295615e-01 3.201478579992475537e-01 -6.897192266730231558e-02 1.314487487275314316e-02 -3.177141200484823003e+01 -1.478961702628854846e-01 -1.306782054291527884e-01 4.000000000000000222e-01
2.161983254109755226e+00 -2.209010781191776684e-01 -2.039287087455382841e-01 3.506705428935692481e-01 -1.314703537223163299e-01 1.278243050820437876e-01 -3.164726476058040205e+01 6.042824953513478703e-02 -1.581412234503642156e-01 4.000000000000000222e-01
2.319228549260474725e+00 -2.902209949901653485e-01 -1.506727735618152153e-01 4.751369199398580712e-01 -1.840631658160897521e-01 1.144628925542988535e-01 -3.163989989552602466e+01 1.857834245214744218e-01 -1.704297030815183633e-01 4.000000000000000222e-01
2.494538709561523682e+00 -3.029905912253698652e-01 -2.111951234460187482e-02 4.191872045951088865e-01 -2.463800244864514100e-01 1.215670608328805330e-01 -3.150614448445558935e+01 1.898201555264357465e-01 -2.049144168137586874e-01 4.000000000000000222e-01
2.514093188236234511e+00 -6.667030943070044458e-02 -5.913549100321805613e-02 4.543874430972598688e-01 -2.239533105220262998e-01 1.856075573907869092e-01 -3.138400283454480544e+01 1.378617238833702574e-01 -1.101162697058840831e-02 4.000000000000000222e-01
2.568238904506860543e+00 3.105093113541134570e-03 2.909809769351673694e-03 6.390862217545116852e-01 -2.791214551504375141e-01 1.807430582587831458e-01 -3.142787432189408747e+01 1.316032878663995209e-01 1.308609305094895602e-03 4.000000000000000222e-01
2.608298602309295777e+00 -4.724967614237714220e-02 1.041024788369796228e-01 7.100694888550529438e-01 -3.554760082062917714e-01 2.102544860355518297e-01 -3.124174681920748853e+01 2.232994158494386316e-01 1.167085375836465072e-01 4.000000000000000222e-01
2.461486796580287351e+00 1.524679228939598147e-02 2.175587482146258689e-01 7.170016612945323553e-01 -4.630479946826734361e-01 1.986088301965943381e-01 -3.130231194526202998e+01 4.343437725106850111e-01 2.420426056635670842e-01 4.000000000000000222e-01
2.577726283085933101e+00 -3.290658232680564871e-02 2.729564074656001121e-02 8.268017217591500101e-01 -5.037355985490075128e-01 2.920660110406790855e-01 -3.116705974006205082e+01 4.335005185712006437e-01 1.105050823721671766e-01 4.000000000000000222e-01
2.539423526150477617e+00 2.248035183964299313e-02 -1.388136078003596868e-02 6.908248536120316086e-01 -5.181881265445422713e-01 2.325679380132500418e-01 -3.126324877223327192e+01 5.636231538157160381e-01 1.185034886501735441e-01 4.000000000000000222e-01
2.462498479208969027e+00 -6.958361693615494614e-03 -2.136654728480806911e-03 8.285258108324609072e-01 -3.588396604009454482e-01 2.391080940831066814e-01 -3.118084993646627012e+01 5.367977614140099218e-01 1.517418044300328228e-01 4.000000000000000222e-01
2.656938971351028300e+00 7.381143498352941978e-02 -2.982541350483338682e-01 7.699888183489216331e-01 -4.167111352116097955e-01 3.633882908937258738e-01 -3.131046459006262594e+01 6.073274654918435767e-01 1.210454780886865700e-01 4.000000000000000222e-01
2.606151033772794889e+00 1.251029451397032977e-01 -1.390222481781478725e-01 7.886962926918823502e-01 -4.290080975481771475e-01 2.143733966785821010e-01 -3.134691487705916657e+01 5.947761727881719640e-01 5.529969700067800115e-02 4.000000000000000222e-01
2.643641873589523517e+00 6.540730023609203636e-02 -2.012475810521033651e-03 7.578721274608454239e-01 -4.687147020978801870e-01 2.125760763371777884e-01 -3.134800733864527089e+01 5.386545734149074116e-01 2.169428149746294998e-01 4.000000000000000222e-01
2.599380063687556142e+00 6.560402441561054288e-02 8.477285028714501292e-02 7.459462486737535869e-01 -5.004090041014477297e-01 2.332680266046145978e-01 -3.137886543217769031e+01 5.070872515198268093e-01 1.644924224939486035e-01 4.000000000000000222e-01
2.676668272779735069e+00 1.005764282249119040e-01 1.154411229352961948e-01 7.627591439677676721e-01 -4.431651173696040669e-01 3.984696709937636805e-01 -3.139845138206743158e+01 5.659541971262772586e-01 1.690086652543125734e-01 4.000000000000000222e-01
2.651358842971418106e+00 9.841385379637235947e-03 7.570137312992544776e-02 7.388632951677361893e-01 -1.760537373286356067e-01 3.163887035729420205e-01 -3.147826522677659256e+01 5.429001568787220622e-01 1.561520497308080124e-01 4.000000000000000222e-01
2.791147874872294654e+00 1.541479331815113762e-01 1.394688739847684544e-01 7.608880133291018311e-01 -1.836929147296021692e-01 4.842505263218884193e-01 -3.157630270273669382e+01 6.575241349779608058e-01 1.387401569956107361e-01 4.000000000000000222e-01
2.657246391271587793e+00 7.304420572050973615e-02 1.460480828919381580e-01 6.503826652333475344e-01 -1.986925351772989568e-01 4.363295700109323105e-01 -3.144570844339504134e+01 4.337696920203626960e-01 3.123893635396705615e-01 4.000000000000000222e-01
2.653346080280229558e+00 1.387508963362720123e-02 3.288999730008372868e-01 6.569422134162788973e-01 -2.127307021669693765e-01 4.816768826234427148e-01 -3.143840031685031633e+01 4.278185468973843553e-01 2.733294745075833809e-01 4.000000000000000222e-01
