2.397895272798370669e+00 0.000000000000000000e+00 2.639057329615258407e+00 0.000000000000000000e+00 -2.403999999999999915e+01 0.000000000000000000e+00 -3.103999999999999915e+01 0.000000000000000000e+00 1.439999999999999961e-02
2.398256535521209543e+00 -4.760303235093440305e-02 2.833831154339679692e+00 4.552012002527969226e-02 -2.398510977703990577e+01 2.906271823607170859e-02 -3.086395152975382317e+01 4.069060181633812889e-02 1.439999999999999961e-02
2.395842339536132570e+00 -1.446513434057951075e-01 3.006432122039526256e+00 3.797501214691434424e-02 -2.404305987500361752e+01 1.294478296134480427e-02 -3.064461718618382591e+01 1.324628300361495592e-01 1.439999999999999961e-02
2.393417610244050309e+00 -1.647562791560847895e-01 3.145780107399440251e+00 1.468561198752285080e-01 -2.395512429781426889e+01 4.915961893864321912e-03 -3.052317304838857837e+01 1.173872356156137053e-01 1.439999999999999961e-02
2.394436733486343893e+00 -1.625205531570310113e-01 3.279482633122228652e+00 1.751857035331042534e-01 -2.392594809437094483e+01 -3.610487809608377285e-02 -3.040762488423694521e+01 1.426616878833187330e-01 1.439999999999999961e-02
2.392189560316272168e+00 -2.042437451279072169e-01 3.396209434256976856e+00 1.682734452379688883e-01 -2.395038754784208734e+01 3.308102024555737569e-02 -3.028894096933260371e+01 1.152450809305502338e-01 1.439999999999999961e-02
2.393431723158125024e+00 -1.918760704166802000e-01 3.468018723975995421e+00 1.142217912231736215e-01 -2.393468489293334400e+01 8.520218423452378953e-02 -3.022173017982149190e+01 1.629419243149612118e-01 1.439999999999999961e-02
2.393113214441521475e+00 -1.743503605109314458e-01 3.553871897948823300e+00 1.825915916071834399e-01 -2.393308823800428087e+01 6.885249180764206611e-02 -3.014501424808726426e+01 1.501203465927249403e-01 1.439999999999999961e-02
2.393901215740716015e+00 -2.289107678257431000e-01 3.661760599767299951e+00 1.042831565539796418e-01 -2.394392909069061304e+01 2.119067151311719230e-02 -3.019796855726740858e+01 1.720755523014874111e-01 1.439999999999999961e-02
2.392806266353370237e+00 -1.788226442555523044e-01 3.727297743463431789e+00 9.659889132607474282e-02 -2.392947314481261145e+01 9.737983912812163065e-04 -3.019546302838897844e+01 1.396909485185686972e-01 1.439999999999999961e-02
2.390870246151757694e+00 -2.529390867186141478e-01 3.775403041568902829e+00 1.184886111769241773e-01 -2.395952073546430583e+01 4.367287798654941045e-02 -3.014304250228816429e+01 2.419909015184531220e-01 1.439999999999999961e-02
2.393321151258461121e+00 -2.065754556508676010e-01 3.778603286273033213e+00 1.617677130057776080e-01 -2.397748711761856555e+01 -7.335048992061672657e-02 -3.011262104712806931e+01 2.353030554634320259e-01 1.439999999999999961e-02
2.390374798907268339e+00 -1.966634303733334199e-01 3.889564962851884466e+00 1.604452739285351370e-01 -2.398308524781135631e+01 -2.977092182770641957e-02 -2.999061800957014157e+01 1.715461394513769500e-01 1.439999999999999961e-02
2.392245538245796777e+00 -1.889063584358164904e-01 3.895067787865650111e+00 2.555028391575652758e-01 -2.396130332636597160e+01 -8.690869350952316885e-02 -2.992726909711712580e+01 2.101821969097182607e-01 1.439999999999999961e-02
2.392542919460455941e+00 -1.450442230751460559e-01 3.891173815024528970e+00 3.003000524211880129e-01 -2.383738213609276713e+01 -1.301955996038156038e-01 -2.994199398890777886e+01 2.501371063280853901e-01 1.439999999999999961e-02
2.393146056877202721e+00 -1.154723679915288237e-01 3.932859718868927601e+00 2.268360218218258562e-01 -2.380984024362738438e+01 -7.302929336783754721e-02 -2.985756756500619957e+01 2.056768656370699666e-01 1.439999999999999961e-02
2.394247483353235229e+00 -1.472135350981606527e-01 4.030890987195373754e+00 2.763500117654618116e-01 -2.386719035965910862e+01 -4.381849536030103798e-02 -2.978279430108382542e+01 2.709749857009388085e-01 1.439999999999999961e-02
2.395721763842553642e+00 -2.126268554088633911e-01 4.087612372507543945e+00 2.346400552571805409e-01 -2.385408651785009226e+01 -1.502504992677998197e-01 -2.977310593161998753e+01 3.009558230972209092e-01 1.439999999999999961e-02
2.393849059911306920e+00 -1.757179490771935415e-01 4.107478924098581174e+00 2.100599658013955484e-01 -2.385098275922210576e+01 -1.757722149706316128e-01 -2.964955946605416770e+01 3.000792291187758254e-01 1.439999999999999961e-02
2.396091674609315270e+00 -2.189253614034331608e-01 4.165590669011280056e+00 2.100957248833332791e-01 -2.384880032052313581e+01 -1.802157001756045096e-01 -2.959661505181425767e+01 4.018178628386568918e-01 1.439999999999999961e-02
2.398569480410270405e+00 -2.198232648474560402e-01 4.276134909741711176e+00 2.335659946286398891e-01 -2.387415513793910549e+01 -1.870494290220539590e-01 -2.962121881632781140e+01 3.688802762779619937e-01 1.439999999999999961e-02
2.398432504147046895e+00 -1.774536867857303690e-01 4.259737631099458355e+00 1.669399370900175594e-01 -2.380490215890269567e+01 -2.540479476266161440e-01 -2.966176684181401413e+01 3.521911145976573398e-01 1.439999999999999961e-02
2.399643355435537195e+00 -1.568258435226450587e-01 4.271900795446418542e+00 1.894888115407567519e-01 -2.374030583160045182e+01 -2.844929773092088610e-01 -2.958628108391852862e+01 4.122410181749598390e-01 1.439999999999999961e-02
2.398221057619253749e+00 -2.219342195868339029e-01 4.275730577426507750e+00 2.163922936802859243e-01 -2.374653012174683298e+01 -3.203036674959513497e-01 -2.957006559381986932e+01 4.335969908060733347e-01 1.439999999999999961e-02
2.399709597943931794e+00 -2.217677648138683399e-01 4.213608266858921425e+00 1.564648634217109813e-01 -2.379990913299765509e+01 -2.764129266192889012e-01 -2.947807496063101951e+01 4.254876961447110473e-01 1.439999999999999961e-02
2.399531881128661226e+00 -2.998086303871268510e-01 4.298135261727892065e+00 1.961546654730483563e-01 -2.376964755403118090e+01 -3.168684648455588060e-01 -2.951718702255030635e+01 4.590554135609269393e-01 1.439999999999999961e-02
2.398844931751907161e+00 -3.966978757510212783e-01 4.381099916721329812e+00 2.207533435100667296e-01 -2.377247527002333527e+01 -2.308805329581756771e-01 -2.943864963247427369e+01 5.576438249038264683e-01 1.439999999999999961e-02
2.397829240044977439e+00 -3.824888617554306203e-01 4.405058523837225515e+00 2.367780245194842648e-01 -2.371725084736607059e+01 -3.070100018300434552e-01 -2.939662492551999406e+01 5.290564144827961668e-01 1.439999999999999961e-02
2.396675171718197550e+00 -3.893376118754324211e-01 4.464269663911607289e+00 3.095648000412430378e-01 -2.374166486621927064e+01 -2.875724186112321168e-01 -2.934839924635346264e+01 5.559414374513991230e-01 1.439999999999999961e-02
2.396553166080828579e+00 -4.588056539503767017e-01 4.486245085652690534e+00 3.078251561432023276e-01 -2.371561649348570100e+01 -3.437415491827262581e-01 -2.934921142819836604e+01 5.438868397187680559e-01 1.439999999999999961e-02
2.397600835801074304e+00 -3.968897066513245586e-01 4.459947800775080573e+00 3.310590138610400301e-01 -2.365832121701179958e+01 -3.526920012617264510e-01 -2.938189247052913444e+01 5.330900614784875868e-01 1.439999999999999961e-02
2.397279001412641275e+00 -3.699378908358196272e-01 4.572871409889463834e+00 3.003142114068192980e-01 -2.363596034336428886e+01 -3.354937068261134026e-01 -2.944471774403168141e+01 5.379536272166828281e-01 1.439999999999999961e-02
2.398199247996121830e+00 -3.178102494779484477e-01 4.566604673890888755e+00 2.508123942070700774e-01 -2.365558694259203421e+01 -3.248154017925056758e-01 -2.942789899763176109e+01 4.636743772117201678e-01 1.439999999999999961e-02
2.400636520906229698e+00 -3.086598823535698366e-01 4.640497168797308447e+00 2.313766941168946545e-01 -2.377100352480104561e+01 -2.824177526036473207e-01 -2.942425431584686635e+01 5.230106277149845218e-01 1.439999999999999961e-02
2.400491507771851385e+00 -3.120522833145830677e-01 4.698474888799115234e+00 1.200761800137461754e-01 -2.379039393650840495e+01 -3.026569946786965004e-01 -2.930508488650715293e+01 5.568808431066790687e-01 1.439999999999999961e-02
