2.200000000000000178e+00 4.699999999999999734e-01 -3.246013445066104453e+01 -3.293013807990678288e+01 4.000000000000000222e-01
2.200000000000000178e+00 4.699999999999999734e-01 -3.246013445066104453e+01 -3.293013807990678288e+01 4.000000000000000222e-01
9.482401142308228614e+00 2.244242071952669892e+00 -3.160241499574124191e+01 -3.114680651871125150e+01 4.000000000000000222e-01
1.396241290541999369e+01 3.125193834122218295e+00 -3.292525968871341746e+01 -3.038835575921426724e+01 4.000000000000000222e-01
1.622239029904271845e+01 4.058501553119421068e+00 -3.288804044888702549e+01 -3.324132149917608814e+01 4.000000000000000222e-01
1.622239029904271845e+01 4.058501553119421068e+00 -3.288804044888702549e+01 -3.324132149917608814e+01 4.000000000000000222e-01
1.622239029904271845e+01 4.058501553119421068e+00 -3.288804044888702549e+01 -3.324132149917608814e+01 4.000000000000000222e-01
1.338391379330509068e+01 5.981481697276925580e+00 -3.266080242389313071e+01 -3.078445821648847058e+01 4.000000000000000222e-01
1.533686686627315332e+01 4.149246187342082948e+00 -3.206974163006982792e+01 -2.932469977327553678e+01 4.000000000000000222e-01
2.108471109079107464e+01 6.293138010981196295e+00 -3.450727444649463393e+01 -2.254535492667913843e+01 4.000000000000000222e-01
2.330963045284385515e+01 4.984202949893672852e+00 -3.557951743433947200e+01 -2.020690172749496227e+01 4.000000000000000222e-01
2.430717133632839477e+01 8.886647331625752155e-01 -3.503836629920183299e+01 -1.051715596808544895e+01 4.000000000000000222e-01
2.841539261686382289e+01 1.948745780697390906e+00 -3.503355934475212052e+01 -8.244153419862399801e+00 4.000000000000000222e-01
3.202539098542923313e+01 4.731221048648942329e+00 -3.558873350683181513e+01 -1.189413598705127306e+01 4.000000000000000222e-01
2.950338419165379023e+01 3.916047091251737111e+00 -3.510335301464473901e+01 -1.020356620838807693e+01 4.000000000000000222e-01
2.950338419165379023e+01 3.916047091251737111e+00 -3.510335301464473901e+01 -1.020356620838807693e+01 4.000000000000000222e-01
2.673011111653805827e+01 3.206485044795780226e+00 -3.502829581425103811e+01 -1.484625589237442789e+01 4.000000000000000222e-01
2.748367881904723831e+01 6.381284992077308260e+00 -3.507850825226179126e+01 -1.370450167075542680e+01 4.000000000000000222e-01
2.209913530444780250e+01 9.583092245800022724e+00 -3.547266465048837603e+01 -1.694312803373318488e+01 4.000000000000000222e-01
2.209913530444780250e+01 9.583092245800022724e+00 -3.547266465048837603e+01 -1.694312803373318488e+01 4.000000000000000222e-01
2.787809803939623166e+01 1.208030534399660638e+01 -3.462561352293042916e+01 -1.336286993804287881e+01 4.000000000000000222e-01
2.356799048994501788e+01 1.087591049691054401e+01 -3.524020650478004058e+01 -1.318587296563100253e+01 4.000000000000000222e-01
2.407588996365443990e+01 1.431545044944496325e+01 -3.540214695788714749e+01 -1.111997940268108032e+01 4.000000000000000222e-01
2.407588996365443990e+01 1.431545044944496325e+01 -3.540214695788714749e+01 -1.111997940268108032e+01 4.000000000000000222e-01
2.269467422763342057e+01 1.580261317268026211e+01 -3.538379751696787423e+01 -1.404556436794938534e+01 4.000000000000000222e-01
2.440552259780375266e+01 1.654586499759399132e+01 -3.532014999848742320e+01 -1.747180518558761619e+01 4.000000000000000222e-01
2.168367943953766996e+01 1.397270290007286420e+01 -3.520553503707253640e+01 -2.237369241682878140e+01 4.000000000000000222e-01
2.150384861271171033e+01 1.516627895496033496e+01 -3.440158354151428455e+01 -1.347078768714975539e+01 4.000000000000000222e-01
2.902478892213120787e+01 1.149089655774687024e+01 -3.574146090398064501e+01 -1.819558748663814995e+01 4.000000000000000222e-01
2.697268829010235081e+01 1.178570460200315395e+01 -3.489783155874349063e+01 -1.709360731156657209e+01 4.000000000000000222e-01
2.697268829010235081e+01 1.178570460200315395e+01 -3.489783155874349063e+01 -1.709360731156657209e+01 4.000000000000000222e-01
2.506914839235575343e+01 1.549345796935348751e+01 -3.565997778660258888e+01 -1.759629576147263563e+01 4.000000000000000222e-01
2.221428848233471598e+01 8.220024569728568764e+00 -3.456615899440175355e+01 -2.092641430275682168e+01 4.000000000000000222e-01
2.715973334018911700e+01 1.212755058652056839e+01 -3.545321077818524458e+01 -2.334650187410793620e+01 4.000000000000000222e-01
2.957098876930934850e+01 1.137701516487106979e+01 -3.469042106713446572e+01 -2.190070671256528811e+01 4.000000000000000222e-01
3.506077036634933819e+01 1.229558589234932775e+01 -3.505265849293348879e+01 -2.376210555988324913e+01 4.000000000000000222e-01
2.850026146304740848e+01 1.426615712780075995e+01 -3.503585321530733410e+01 -2.128963583236300394e+01 4.000000000000000222e-01
2.649366289313042344e+01 1.835426986994482590e+01 -3.534013382964672445e+01 -2.151488395155571354e+01 4.000000000000000222e-01
2.649366289313042344e+01 1.835426986994482590e+01 -3.534013382964672445e+01 -2.151488395155571354e+01 4.000000000000000222e-01
2.188144364347171589e+01 1.663127004126389608e+01 -3.520887818422756510e+01 -2.258723722601751760e+01 4.000000000000000222e-01
1.876143704120085687e+01 1.625549760525755261e+01 -3.533818147566407930e+01 -1.863566112137088027e+01 4.000000000000000222e-01
9.383656429186121528e+00 2.163334710724306831e+01 -3.535674122476988401e+01 -1.790224599949696227e+01 4.000000000000000222e-01
8.964533523843178031e+00 2.289128695562156324e+01 -3.442080319895095641e+01 -2.065241618324601092e+01 4.000000000000000222e-01
